"NUMERO_PRESTAMO","NOMBRE_OPERACION","IDENTIFICADOR_PROCESO","NOMBRE_ADQUISICION","CATEGORIA_PROCESO","NOMBRE_ORGANISMO_EJECUTOR","MONTO_PRESUPUESTADO_PROCESO_ADQUISICION","ESTADO_PROCESO"
"2210",Proyecto de Saneamiento de Bluefields,NIC-2025-2210-13338-CF,"Supervisión de las Obras del Sistema de Alcantarillado Sanitario de la Ciudad de Bluefields.
A financiarse US$ 790,000.00 con fondos del contratista, Componente 1.",Consultorías Firmas,Empresa Nicaragüense de Acueductos y Alcantarillados Sanitarios (ENACAL),5404969.74,Adjudicado
"2263",Programa Multisectorial para la Reactivación Económica y la Protección Social (NIC-Solidaria),NIC-2025-2263-19935-B,"Adquisición de equipos de medición, comunicación, localización y Kit Forestal y equipamiento de la sub sede. (GPS,  Kit Forestal, equipamiento)",Bienes,Ministerio de Hacienda y Crédito Público (MHCP),0.00,Fracasado
"2263",Programa Multisectorial para la Reactivación Económica y la Protección Social (NIC-Solidaria),NIC-2025-2263-20035-CF,Auditorías Externas,Consultorías Firmas,Ministerio de Hacienda y Crédito Público (MHCP),75400.00,Adjudicado
"2263",Programa Multisectorial para la Reactivación Económica y la Protección Social (NIC-Solidaria),NIC-2025-2263-20122-CI,Especialista en Adquisiciones,Consultorías Individuales,Ministerio de Hacienda y Crédito Público (MHCP),239200.00,Adjudicado
"2263",Programa Multisectorial para la Reactivación Económica y la Protección Social (NIC-Solidaria),NIC-2025-2263-20216-CI,Promotores Sociales en Módulos Comunitarios de Adoquinado (2 Promotores),Consultorías Individuales,Ministerio de Hacienda y Crédito Público (MHCP),70200.00,Adjudicado
"2050C",Ampliación del Programa PNESER Tramo C,NIC-E-2050C-5828-O,Construcción de Redes de Distribución en Proyectos de Normalización de Asentamientos. Construcción de 247 km para redes de distribución en asentamientos.,Obras,Empresa Nacional de Transmisión Eléctrica (ENATREL),3724090.88,Contratado
"2248-TB",Programa para la Reactivación Económica a través de la MIPYME en la Crisis y Post Crisis COVID-19 en HND,HND-B-2248-TB-7255-CI,"3.2 Técnicos Departamentales para Cajas Rurales (2025 a 2029)",Consultorías Individuales,Programa de la Red Solidaria (PRS),1123200.00,Adjudicado
"2337",Programa Surf City - Fase I,SLV-2025-2337-12841-O,"Ampliación de carretera CA02W, desde playa El Obispo hasta Playa El Zonte, sobre Vía Turística Costera Surf City (Fase I),Tramo II, estaciones: 3+332.03 - 12+000 departamento de La Libertad. ",Obras,Ministerio de Obras Públicas y de Transporte (MOPT),67264609.60,En Curso
"2220",Proyecto de Abastecimiento de Agua para la Cuenca Media del Río Tempisque y Comunidades Costeras PAACUME,CRI-2025-2220-19743-O,"Diseño y Construcción de Obras para Presa, Vertedor de Excedencias y Cortina de Impermeabilización de PAACUME",Obras,"Servicio Nacional de Aguas Subterráneas, Riego y Avenamiento ( Senara)",170410942.78,En Curso
"2318",Financiamiento Obras Complementarias de la Presa Multipropósito Montegrande  ,DOM-2025-2318-12024-O,"Obras Complementarias de la Presa Montegrande: Diseño y construcción de la Línea de Conducción de Agua Potable desde la Planta de Tratamiento del Acueducto de ASURO hacia la Capital Provincial de Barahona, República Dominicana”. Equipo electromecánico y estructuras hidráulicas de acero para estaciones de bombeo, Suministro y colocación de tanques o depósitos reguladores, Diseño y Construcción Sistema de Riego línea Principal y Secundaria, Rehabilitación Canales Terciario, Dique Santana y Manejo de Agua. Obras para mitigación de daños por efecto de inundación.",Obras,Instituto Nacional de Recursos Hídraulicos (INDRHI),118537260.77,En Curso
"2301",Inversión Social en Seguridad Ciudadana,ARG-MDPEEI-2301-8668-B,Centro de Monitoreo Móvil,Bienes,Entidad de Enlace del Ministerio de Hacienda y Finanzas de la Provincia de Chaco,300000.00,Previsto
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-2025-2245-14887-O,Construcción de viviendas de extrema pobreza Fase XX en el municipio de Santa Teresa (10 Viviendas),Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),85000.00,Previsto
